Sentence,Word,Filtered_Word,Stemmed_Word,Lemmatized_Word,Tagged_Word,Named_Entity
L_2019152EN.01004501.xml,L_2019152EN.01004501.xml,l_2019152en.01004501.xml,L_2019152EN.01004501.xml,"('L_2019152EN.01004501.xml', 'NNP')","('L_2019152EN.01004501.xml', 'NNP')"
11.6.2019,11.6.2019,11.6.2019,11.6.2019,"('11.6.2019', 'CD')","('11.6.2019', 'CD')"
EN,EN,en,EN,"('EN', 'NNP')","('EN', 'NNP')"
Official,Official,offici,Official,"('Official', 'NNP')","('Official', 'NNP')"
Journal,Journal,journal,Journal,"('Journal', 'NNP')","('Journal', 'NNP')"
of,European,of,of,"('of', 'IN')","('of', 'IN')"
the,Union,the,the,"('the', 'DT')","('the', 'DT')"
European,L,european,European,"('European', 'NNP')",(ORGANIZATION European/NNP Union/NNP)
Union,152/45,union,Union,"('Union', 'NNP')","('L', 'NNP')"
L,COMMISSION,l,L,"('L', 'NNP')","('152/45', 'CD')"
152/45,IMPLEMENTING,152/45,152/45,"('152/45', 'CD')",(ORGANIZATION COMMISSION/NNP)
COMMISSION,REGULATION,commiss,COMMISSION,"('COMMISSION', 'NNP')","('IMPLEMENTING', 'NNP')"
IMPLEMENTING,(,implement,IMPLEMENTING,"('IMPLEMENTING', 'NNP')","('REGULATION', 'NNP')"
REGULATION,EU,regul,REGULATION,"('REGULATION', 'NNP')","('(', '(')"
(,),(,(,"('(', '(')",(GPE EU/NNP)
EU,2019/947,eu,EU,"('EU', 'NNP')","(')', ')')"
),24,),),"(')', ')')","('2019/947', 'CD')"
2019/947,May,2019/947,2019/947,"('2019/947', 'CD')","('of', 'IN')"
of,2019,of,of,"('of', 'IN')","('24', 'CD')"
24,rules,24,24,"('24', 'CD')","('May', 'NNP')"
May,procedures,may,May,"('May', 'NNP')","('2019', 'CD')"
2019,operation,2019,2019,"('2019', 'CD')","('on', 'IN')"
on,unmanned,on,on,"('on', 'IN')","('the', 'DT')"
the,aircraft,the,the,"('the', 'DT')","('rules', 'NNS')"
rules,(,rule,rule,"('rules', 'NNS')","('and', 'CC')"
and,Text,and,and,"('and', 'CC')","('procedures', 'NNS')"
procedures,EEA,procedur,procedure,"('procedures', 'NNS')","('for', 'IN')"
for,relevance,for,for,"('for', 'IN')","('the', 'DT')"
the,),the,the,"('the', 'DT')","('operation', 'NN')"
operation,EUROPEAN,oper,operation,"('operation', 'NN')","('of', 'IN')"
of,COMMISSION,of,of,"('of', 'IN')","('unmanned', 'JJ')"
unmanned,",",unman,unmanned,"('unmanned', 'JJ')","('aircraft', 'NN')"
aircraft,regard,aircraft,aircraft,"('aircraft', 'NN')","('(', '(')"
(,Treaty,(,(,"('(', '(')",(ORGANIZATION Text/NNP)
Text,Functioning,text,Text,"('Text', 'NNP')","('with', 'IN')"
with,European,with,with,"('with', 'IN')",(ORGANIZATION EEA/NNP)
EEA,Union,eea,EEA,"('EEA', 'NNP')","('relevance', 'NN')"
relevance,",",relev,relevance,"('relevance', 'NN')","(')', ')')"
),regard,),),"(')', ')')",(ORGANIZATION THE/NNP)
THE,Regulation,the,THE,"('THE', 'NNP')",(ORGANIZATION EUROPEAN/NNP)
EUROPEAN,(,european,EUROPEAN,"('EUROPEAN', 'NNP')","('COMMISSION', 'NNP')"
COMMISSION,EU,commiss,COMMISSION,"('COMMISSION', 'NNP')","(',', ',')"
",",),",",",","(',', ',')","('Having', 'VBG')"
Having,2018/1139,have,Having,"('Having', 'VBG')","('regard', 'NN')"
regard,European,regard,regard,"('regard', 'NN')","('to', 'TO')"
to,Parliament,to,to,"('to', 'TO')","('the', 'DT')"
the,Council,the,the,"('the', 'DT')",(ORGANIZATION Treaty/NNP)
Treaty,4,treati,Treaty,"('Treaty', 'NNP')","('on', 'IN')"
on,July,on,on,"('on', 'IN')","('the', 'DT')"
the,2018,the,the,"('the', 'DT')","('Functioning', 'NNP')"
Functioning,common,function,Functioning,"('Functioning', 'NNP')","('of', 'IN')"
of,rules,of,of,"('of', 'IN')","('the', 'DT')"
the,field,the,the,"('the', 'DT')",(ORGANIZATION European/NNP Union/NNP)
European,civil,european,European,"('European', 'NNP')","(',', ',')"
Union,aviation,union,Union,"('Union', 'NNP')","('Having', 'VBG')"
",",establishing,",",",","(',', ',')","('regard', 'NN')"
Having,European,have,Having,"('Having', 'VBG')","('to', 'TO')"
regard,Union,regard,regard,"('regard', 'NN')",(GPE Regulation/NNP)
to,Aviation,to,to,"('to', 'TO')","('(', '(')"
Regulation,Safety,regul,Regulation,"('Regulation', 'NNP')",(GPE EU/NNP)
(,Agency,(,(,"('(', '(')","(')', ')')"
EU,",",eu,EU,"('EU', 'NNP')","('2018/1139', 'CD')"
),amending,),),"(')', ')')","('of', 'IN')"
2018/1139,Regulations,2018/1139,2018/1139,"('2018/1139', 'CD')","('the', 'DT')"
of,(,of,of,"('of', 'IN')",(ORGANIZATION European/NNP Parliament/NNP)
the,EC,the,the,"('the', 'DT')","('and', 'CC')"
European,),european,European,"('European', 'NNP')","('of', 'IN')"
Parliament,2111/2005,parliament,Parliament,"('Parliament', 'NNP')","('the', 'DT')"
and,",",and,and,"('and', 'CC')",(ORGANIZATION Council/NNP)
of,(,of,of,"('of', 'IN')","('of', 'IN')"
the,EC,the,the,"('the', 'DT')","('4', 'CD')"
Council,),council,Council,"('Council', 'NNP')","('July', 'NNP')"
of,1008/2008,of,of,"('of', 'IN')","('2018', 'CD')"
4,",",4,4,"('4', 'CD')","('on', 'IN')"
July,(,juli,July,"('July', 'NNP')","('common', 'JJ')"
2018,EU,2018,2018,"('2018', 'CD')","('rules', 'NNS')"
on,),on,on,"('on', 'IN')","('in', 'IN')"
common,996/2010,common,common,"('common', 'JJ')","('the', 'DT')"
rules,",",rule,rule,"('rules', 'NNS')","('field', 'NN')"
in,(,in,in,"('in', 'IN')","('of', 'IN')"
the,EU,the,the,"('the', 'DT')","('civil', 'JJ')"
field,),field,field,"('field', 'NN')","('aviation', 'NN')"
of,376/2014,of,of,"('of', 'IN')","('and', 'CC')"
civil,Directives,civil,civil,"('civil', 'JJ')","('establishing', 'VBG')"
aviation,2014/30/EU,aviat,aviation,"('aviation', 'NN')","('a', 'DT')"
and,2014/53/EU,and,and,"('and', 'CC')",(GPE European/NNP)
establishing,European,establish,establishing,"('establishing', 'VBG')","('Union', 'NNP')"
a,Parliament,a,a,"('a', 'DT')","('Aviation', 'NNP')"
European,Council,european,European,"('European', 'NNP')","('Safety', 'NNP')"
Union,",",union,Union,"('Union', 'NNP')","('Agency', 'NNP')"
Aviation,repealing,aviat,Aviation,"('Aviation', 'NNP')","(',', ',')"
Safety,Regulations,safeti,Safety,"('Safety', 'NNP')","('and', 'CC')"
Agency,(,agenc,Agency,"('Agency', 'NNP')","('amending', 'VBG')"
",",EC,",",",","(',', ',')","('Regulations', 'NNS')"
and,),and,and,"('and', 'CC')","('(', '(')"
amending,216/2008,amend,amending,"('amending', 'VBG')","('EC', 'NNP')"
Regulations,(,regul,Regulations,"('Regulations', 'NNS')","(')', ')')"
(,EC,(,(,"('(', '(')","('No', 'DT')"
EC,),ec,EC,"('EC', 'NNP')","('2111/2005', 'CD')"
),552/2004,),),"(')', ')')","(',', ',')"
No,European,no,No,"('No', 'DT')","('(', '(')"
2111/2005,Parliament,2111/2005,2111/2005,"('2111/2005', 'CD')","('EC', 'NNP')"
",",Council,",",",","(',', ',')","(')', ')')"
(,Council,(,(,"('(', '(')","('No', 'DT')"
EC,Regulation,ec,EC,"('EC', 'NNP')","('1008/2008', 'CD')"
),(,),),"(')', ')')","(',', ',')"
No,EEC,no,No,"('No', 'DT')","('(', '(')"
1008/2008,),1008/2008,1008/2008,"('1008/2008', 'CD')",(GPE EU/NNP)
",",3922/91,",",",","(',', ',')","(')', ')')"
(,(,(,(,"('(', '(')","('No', 'DT')"
EU,1,eu,EU,"('EU', 'NNP')","('996/2010', 'CD')"
),),),),"(')', ')')","(',', ',')"
No,",",no,No,"('No', 'DT')","('(', '(')"
996/2010,particular,996/2010,996/2010,"('996/2010', 'CD')",(GPE EU/NNP)
",",Article,",",",","(',', ',')","(')', ')')"
(,57,(,(,"('(', '(')","('No', 'DT')"
EU,thereof,eu,EU,"('EU', 'NNP')","('376/2014', 'CD')"
),",",),),"(')', ')')","('and', 'CC')"
No,Whereas,no,No,"('No', 'DT')","('Directives', 'VBZ')"
376/2014,:,376/2014,376/2014,"('376/2014', 'CD')","('2014/30/EU', 'CD')"
and,(,and,and,"('and', 'CC')","('and', 'CC')"
Directives,1,direct,Directives,"('Directives', 'VBZ')","('2014/53/EU', 'CD')"
2014/30/EU,),2014/30/eu,2014/30/EU,"('2014/30/EU', 'CD')","('of', 'IN')"
and,Unmanned,and,and,"('and', 'CC')","('the', 'DT')"
2014/53/EU,aircraft,2014/53/eu,2014/53/EU,"('2014/53/EU', 'CD')",(ORGANIZATION European/NNP Parliament/NNP)
of,",",of,of,"('of', 'IN')","('and', 'CC')"
the,irrespective,the,the,"('the', 'DT')","('of', 'IN')"
European,mass,european,European,"('European', 'NNP')","('the', 'DT')"
Parliament,",",parliament,Parliament,"('Parliament', 'NNP')",(ORGANIZATION Council/NNP)
and,operate,and,and,"('and', 'CC')","(',', ',')"
of,within,of,of,"('of', 'IN')","('and', 'CC')"
the,Single,the,the,"('the', 'DT')","('repealing', 'VBG')"
Council,European,council,Council,"('Council', 'NNP')","('Regulations', 'NNS')"
",",Sky,",",",","(',', ',')","('(', '(')"
and,airspace,and,and,"('and', 'CC')","('EC', 'NNP')"
repealing,",",repeal,repealing,"('repealing', 'VBG')","(')', ')')"
Regulations,alongside,regul,Regulations,"('Regulations', 'NNS')","('No', 'DT')"
(,manned,(,(,"('(', '(')","('216/2008', 'CD')"
EC,aircraft,ec,EC,"('EC', 'NNP')","('and', 'CC')"
),",",),),"(')', ')')","('(', '(')"
No,whether,no,No,"('No', 'DT')","('EC', 'NNP')"
216/2008,airplanes,216/2008,216/2008,"('216/2008', 'CD')","(')', ')')"
and,helicopters,and,and,"('and', 'CC')","('No', 'DT')"
(,.,(,(,"('(', '(')","('552/2004', 'CD')"
EC,(,ec,EC,"('EC', 'NNP')","('of', 'IN')"
),2,),),"(')', ')')","('the', 'DT')"
No,),no,No,"('No', 'DT')",(ORGANIZATION European/NNP Parliament/NNP)
552/2004,manned,552/2004,552/2004,"('552/2004', 'CD')","('and', 'CC')"
of,aviation,of,of,"('of', 'IN')","('of', 'IN')"
the,",",the,the,"('the', 'DT')","('the', 'DT')"
European,uniform,european,European,"('European', 'NNP')",(ORGANIZATION Council/NNP)
Parliament,implementation,parliament,Parliament,"('Parliament', 'NNP')","('and', 'CC')"
and,compliance,and,and,"('and', 'CC')",(PERSON Council/NNP Regulation/NNP)
of,rules,of,of,"('of', 'IN')","('(', '(')"
the,procedures,the,the,"('the', 'DT')",(ORGANIZATION EEC/NNP)
Council,apply,council,Council,"('Council', 'NNP')","(')', ')')"
and,operators,and,and,"('and', 'CC')","('No', 'DT')"
Council,",",council,Council,"('Council', 'NNP')","('3922/91', 'CD')"
Regulation,including,regul,Regulation,"('Regulation', 'NNP')","('(', '(')"
(,remote,(,(,"('(', '(')","('1', 'CD')"
EEC,pilots,eec,EEC,"('EEC', 'NNP')","(')', ')')"
),",",),),"(')', ')')","(',', ',')"
No,unmanned,no,No,"('No', 'DT')","('and', 'CC')"
3922/91,aircraft,3922/91,3922/91,"('3922/91', 'CD')","('in', 'IN')"
(,unmanned,(,(,"('(', '(')","('particular', 'JJ')"
1,aircraft,1,1,"('1', 'CD')","('Article', 'NNP')"
),system,),),"(')', ')')","('57', 'CD')"
",",(,",",",","(',', ',')","('thereof', 'NN')"
and,‘,and,and,"('and', 'CC')","(',', ',')"
in,UAS,in,in,"('in', 'IN')",(PERSON Whereas/NNP)
particular,’,particular,particular,"('particular', 'JJ')","(':', ':')"
Article,),articl,Article,"('Article', 'NNP')","('(', '(')"
57,",",57,57,"('57', 'CD')","('1', 'CD')"
thereof,well,thereof,thereof,"('thereof', 'NN')","(')', ')')"
",",operations,",",",","(',', ',')","('Unmanned', 'VBN')"
Whereas,unmanned,wherea,Whereas,"('Whereas', 'NNP')","('aircraft', 'NN')"
:,aircraft,:,:,"(':', ':')","(',', ',')"
(,unmanned,(,(,"('(', '(')","('irrespective', 'NN')"
1,aircraft,1,1,"('1', 'CD')","('of', 'IN')"
),system,),),"(')', ')')","('their', 'PRP$')"
Unmanned,.,unman,Unmanned,"('Unmanned', 'VBN')","('mass', 'NN')"
aircraft,(,aircraft,aircraft,"('aircraft', 'NN')","(',', ',')"
",",3,",",",","(',', ',')","('can', 'MD')"
irrespective,),irrespect,irrespective,"('irrespective', 'NN')","('operate', 'VB')"
of,Considering,of,of,"('of', 'IN')","('within', 'IN')"
their,specific,their,their,"('their', 'PRP$')","('the', 'DT')"
mass,characteristics,mass,mass,"('mass', 'NN')","('same', 'JJ')"
",",UAS,",",",","(',', ',')",(ORGANIZATION Single/NNP European/NNP Sky/NNP)
can,operations,can,can,"('can', 'MD')","('airspace', 'NN')"
operate,",",oper,operate,"('operate', 'VB')","(',', ',')"
within,safe,within,within,"('within', 'IN')","('alongside', 'RB')"
the,manned,the,the,"('the', 'DT')","('manned', 'VBD')"
same,aviation,same,same,"('same', 'JJ')","('aircraft', 'NN')"
Single,.,singl,Single,"('Single', 'NNP')","(',', ',')"
European,(,european,European,"('European', 'NNP')","('whether', 'IN')"
Sky,4,ski,Sky,"('Sky', 'NNP')","('airplanes', 'NNS')"
airspace,),airspac,airspace,"('airspace', 'NN')","('or', 'CC')"
",",Technologies,",",",","(',', ',')","('helicopters', 'NNS')"
alongside,unmanned,alongsid,alongside,"('alongside', 'RB')","('.', '.')"
manned,aircraft,man,manned,"('manned', 'VBD')","('(', '(')"
aircraft,allow,aircraft,aircraft,"('aircraft', 'NN')","('2', 'CD')"
",",wide,",",",","(',', ',')","(')', ')')"
whether,range,whether,whether,"('whether', 'IN')","('As', 'IN')"
airplanes,possible,airplan,airplane,"('airplanes', 'NNS')","('for', 'IN')"
or,operations,or,or,"('or', 'CC')","('manned', 'JJ')"
helicopters,.,helicopt,helicopter,"('helicopters', 'NNS')","('aviation', 'NN')"
.,Requirements,.,.,"('.', '.')","(',', ',')"
(,related,(,(,"('(', '(')","('a', 'DT')"
2,airworthiness,2,2,"('2', 'CD')","('uniform', 'JJ')"
),",",),),"(')', ')')","('implementation', 'NN')"
As,organisations,as,As,"('As', 'IN')","('of', 'IN')"
for,",",for,for,"('for', 'IN')","('and', 'CC')"
manned,persons,man,manned,"('manned', 'JJ')","('compliance', 'NN')"
aviation,involved,aviat,aviation,"('aviation', 'NN')","('with', 'IN')"
",",operation,",",",","(',', ',')","('rules', 'NNS')"
a,UAS,a,a,"('a', 'DT')","('and', 'CC')"
uniform,unmanned,uniform,uniform,"('uniform', 'JJ')","('procedures', 'NNS')"
implementation,aircraft,implement,implementation,"('implementation', 'NN')","('should', 'MD')"
of,operations,of,of,"('of', 'IN')","('apply', 'VB')"
and,set,and,and,"('and', 'CC')","('to', 'TO')"
compliance,order,complianc,compliance,"('compliance', 'NN')","('operators', 'NNS')"
with,ensure,with,with,"('with', 'IN')","(',', ',')"
rules,safety,rule,rule,"('rules', 'NNS')","('including', 'VBG')"
and,people,and,and,"('and', 'CC')","('remote', 'JJ')"
procedures,ground,procedur,procedure,"('procedures', 'NNS')","('pilots', 'NNS')"
should,airspace,should,should,"('should', 'MD')","(',', ',')"
apply,users,appli,apply,"('apply', 'VB')","('of', 'IN')"
to,operations,to,to,"('to', 'TO')","('unmanned', 'JJ')"
operators,unmanned,oper,operator,"('operators', 'NNS')","('aircraft', 'NN')"
",",aircraft,",",",","(',', ',')","('and', 'CC')"
including,.,includ,including,"('including', 'VBG')","('unmanned', 'VBN')"
remote,(,remot,remote,"('remote', 'JJ')","('aircraft', 'NN')"
pilots,5,pilot,pilot,"('pilots', 'NNS')","('system', 'NN')"
",",),",",",","(',', ',')","('(', '(')"
of,rules,of,of,"('of', 'IN')","('‘', 'JJ')"
unmanned,procedures,unman,unmanned,"('unmanned', 'JJ')",(ORGANIZATION UAS/NNP)
aircraft,applicable,aircraft,aircraft,"('aircraft', 'NN')","('’', 'NNP')"
and,UAS,and,and,"('and', 'CC')","(')', ')')"
unmanned,operations,unman,unmanned,"('unmanned', 'VBN')","(',', ',')"
aircraft,proportionate,aircraft,aircraft,"('aircraft', 'NN')","('as', 'RB')"
system,nature,system,system,"('system', 'NN')","('well', 'RB')"
(,risk,(,(,"('(', '(')","('as', 'IN')"
‘,operation,‘,‘,"('‘', 'JJ')","('for', 'IN')"
UAS,activity,ua,UAS,"('UAS', 'NNP')","('the', 'DT')"
’,adapted,’,’,"('’', 'NNP')","('operations', 'NNS')"
),operational,),),"(')', ')')","('of', 'IN')"
",",characteristics,",",",","(',', ',')","('such', 'JJ')"
as,unmanned,as,a,"('as', 'RB')","('unmanned', 'JJ')"
well,aircraft,well,well,"('well', 'RB')","('aircraft', 'NN')"
as,concerned,as,a,"('as', 'IN')","('and', 'CC')"
for,characteristics,for,for,"('for', 'IN')","('unmanned', 'VBN')"
the,area,the,the,"('the', 'DT')","('aircraft', 'NN')"
operations,operations,oper,operation,"('operations', 'NNS')","('system', 'NN')"
of,",",of,of,"('of', 'IN')","('.', '.')"
such,population,such,such,"('such', 'JJ')","('(', '(')"
unmanned,density,unman,unmanned,"('unmanned', 'JJ')","('3', 'CD')"
aircraft,",",aircraft,aircraft,"('aircraft', 'NN')","(')', ')')"
and,surface,and,and,"('and', 'CC')","('Considering', 'VBG')"
unmanned,characteristics,unman,unmanned,"('unmanned', 'VBN')","('the', 'DT')"
aircraft,",",aircraft,aircraft,"('aircraft', 'NN')","('specific', 'JJ')"
system,presence,system,system,"('system', 'NN')","('characteristics', 'NNS')"
.,buildings,.,.,"('.', '.')","('of', 'IN')"
(,.,(,(,"('(', '(')",(ORGANIZATION UAS/NNP)
3,(,3,3,"('3', 'CD')","('operations', 'NNS')"
),6,),),"(')', ')')","(',', ',')"
Considering,),consid,Considering,"('Considering', 'VBG')","('they', 'PRP')"
the,risk,the,the,"('the', 'DT')","('should', 'MD')"
specific,level,specif,specific,"('specific', 'JJ')","('be', 'VB')"
characteristics,criteria,characterist,characteristic,"('characteristics', 'NNS')","('as', 'RB')"
of,well,of,of,"('of', 'IN')","('safe', 'JJ')"
UAS,criteria,ua,UAS,"('UAS', 'NNP')","('as', 'IN')"
operations,used,oper,operation,"('operations', 'NNS')","('those', 'DT')"
",",establish,",",",","(',', ',')","('in', 'IN')"
they,three,they,they,"('they', 'PRP')","('manned', 'JJ')"
should,categories,should,should,"('should', 'MD')","('aviation', 'NN')"
be,operations,be,be,"('be', 'VB')","('.', '.')"
as,:,as,a,"('as', 'RB')","('(', '(')"
safe,‘,safe,safe,"('safe', 'JJ')","('4', 'CD')"
as,open,as,a,"('as', 'IN')","(')', ')')"
those,’,those,those,"('those', 'DT')","('Technologies', 'NNPS')"
in,",",in,in,"('in', 'IN')","('for', 'IN')"
manned,‘,man,manned,"('manned', 'JJ')","('unmanned', 'JJ')"
aviation,specific,aviat,aviation,"('aviation', 'NN')","('aircraft', 'NN')"
.,’,.,.,"('.', '.')","('allow', 'VB')"
(,‘,(,(,"('(', '(')","('a', 'DT')"
4,certified,4,4,"('4', 'CD')","('wide', 'JJ')"
),’,),),"(')', ')')","('range', 'NN')"
Technologies,categories,technolog,Technologies,"('Technologies', 'NNPS')","('of', 'IN')"
for,.,for,for,"('for', 'IN')","('possible', 'JJ')"
unmanned,(,unman,unmanned,"('unmanned', 'JJ')","('operations', 'NNS')"
aircraft,7,aircraft,aircraft,"('aircraft', 'NN')","('.', '.')"
allow,),allow,allow,"('allow', 'VB')","('Requirements', 'NNS')"
a,Proportionate,a,a,"('a', 'DT')","('related', 'VBN')"
wide,risks,wide,wide,"('wide', 'JJ')","('to', 'TO')"
range,mitigation,rang,range,"('range', 'NN')","('the', 'DT')"
of,requirements,of,of,"('of', 'IN')","('airworthiness', 'NN')"
possible,applicable,possibl,possible,"('possible', 'JJ')","(',', ',')"
operations,UAS,oper,operation,"('operations', 'NNS')","('the', 'DT')"
.,operations,.,.,"('.', '.')","('organisations', 'NNS')"
Requirements,according,requir,Requirements,"('Requirements', 'NNS')","(',', ',')"
related,level,relat,related,"('related', 'VBN')","('the', 'DT')"
to,risk,to,to,"('to', 'TO')","('persons', 'NNS')"
the,involved,the,the,"('the', 'DT')","('involved', 'VBN')"
airworthiness,",",airworthi,airworthiness,"('airworthiness', 'NN')","('in', 'IN')"
",",operational,",",",","(',', ',')","('the', 'DT')"
the,characteristics,the,the,"('the', 'DT')","('operation', 'NN')"
organisations,unmanned,organis,organisation,"('organisations', 'NNS')","('of', 'IN')"
",",aircraft,",",",","(',', ',')",(ORGANIZATION UAS/NNP)
the,concerned,the,the,"('the', 'DT')","('and', 'CC')"
persons,characteristics,person,person,"('persons', 'NNS')","('unmanned', 'VBD')"
involved,area,involv,involved,"('involved', 'VBN')","('aircraft', 'NN')"
in,operation,in,in,"('in', 'IN')","('operations', 'NNS')"
the,.,the,the,"('the', 'DT')","('should', 'MD')"
operation,(,oper,operation,"('operation', 'NN')","('be', 'VB')"
of,8,of,of,"('of', 'IN')","('set', 'VBN')"
UAS,),ua,UAS,"('UAS', 'NNP')","('out', 'RP')"
and,Operations,and,and,"('and', 'CC')","('in', 'IN')"
unmanned,‘,unman,unmanned,"('unmanned', 'VBD')","('order', 'NN')"
aircraft,open,aircraft,aircraft,"('aircraft', 'NN')","('to', 'TO')"
operations,’,oper,operation,"('operations', 'NNS')","('ensure', 'VB')"
should,category,should,should,"('should', 'MD')","('safety', 'NN')"
be,",",be,be,"('be', 'VB')","('for', 'IN')"
set,cover,set,set,"('set', 'VBN')","('people', 'NNS')"
out,operations,out,out,"('out', 'RP')","('on', 'IN')"
in,present,in,in,"('in', 'IN')","('the', 'DT')"
